"","RS05272016SE_T2","TB05292018TC_T1","MM10082018TM_T1","MM01112019VJ_T1","MM04192019YF_T1","MM_0257_BM_03_NA","MM_1951_BM_04_NA","Takeda_Ctrl_15_P1","P1_HDPlasma_1017_1","TB12092016KL_T4","TB06182018RS_T1","MM10082018TM_T2","MM10132017WL_T3","MM02152019JN_T2","MM_0422_BM_02_NA","MM_0590_BM_03_NA","P1_HDPlasma_1017_2","TB3040_T3","TB04052017KK_T2","TB11012017JH_T3","MM08082018SM_T2","MM02152019JN_T1","MM05032018RK_T2","MM_0237_BM_03_NA","MM_0501_BM_04_NA","RS05272016SE_T1","TB08112017JC_T2","TB07262018HF_T1","MM12102018KD_T2","MM08022018JO_T2","MM12062018MK_T3","MM_1951_BM_03_NA","TB01092018VC_T2","TB7083_T1","TB11012017JH_T2","TB08022018JO_T1","MM12142018RH_T1","MM04052017KK_T3","MM01142019GB_T2","MM_0255_BM_03_NA","Takeda_Ctrl_2_P1","TB3040_T5","TB05032018RK_T1","TB08082018SM_T1","MM01042019CA_T1","MM12192018RH_T3","MM08052019TJ_T1","MM_0002_BM_04_NA","Takeda_Ctrl_5_P1","TB07052017VC_T1","TB05112018JD_T1","MM04172018DG_T2","MM12062018MK_T2","MM01042019CA_T2","MM05292018TC_T2","MM_0591_BM_02_NA","Takeda_Ctrl_8_P1","TB7077_T3","TB05232018SL_T1","MM10132017WL_T2","MM01142019GB_T1","MM04182019JJ_T1","MM05112018JD_T4","MM_0569_BM_02_NA","Takeda_Ctrl_12_P1","P2_HDPlasma_1017_1","P2_HDPlasma_1017_2","38Pre_TB06112018PS","38Post_MM_0370_BM_03","39Pre_MM_1330_BM_01","39Post_MM_1330_BM_02","41Pre_MM01152019WM","41Post_MM_0502_BM_02","42Pre_TB08282017SN","42Post_MM_0382_BM_03","43Pre_MM_5209_BM_01","43Post_MM_5209_BM_02","44Pre_MM_5278_BM_01","44Post_MM_5278_BM_02","45Pre_MM09282018MWM","45Post_MM_0418_BM_03","46Pre_MM06042018MH","46Post_MM_0327_BM_03","47Pre_TB05172017KR","47Post_MM05172017KR","48Pre_TB05212013MT","48Post_MM05212013MT","20Pre_MM08052019TJ","20Post_MM_0422 BM_02","11Pre_ TB08112017JC","11Post_ TB08112017JC","28On_RS12092016KL","22On_MM07262018HF","25On_MM06182018RS","31On_MM04182019JJ","38On_MM_0370_BM_02","Takeda_Ctrl_8_P2","Takeda_Ctrl_5_P2","Takeda_Ctrl_2_P2","Takeda_Ctrl_15_P2","Takeda_Ctrl_12_P2"
"LAP.TGF.beta.1",11.54658,9.33455,8.55675,9.69042,9.00076,8.05887,9.2131,9.01236,8.92851,9.38158,8.62097,10.48829,9.64888,10.58841,10.83114,9.4733,9.06849,10.55583,9.26517,9.0579,8.90534,9.3388,8.61821,9.20274,9.53052,8.95545,9.85908,10.50667,9.82888,8.98729,8.93521,9.11116,8.72524,8.78131,8.85895,8.80489,9.61953,9.32331,9.62162,9.18773,8.63036,10.41053,9.49395,12.84194,10.02807,9.46492,10.09266,8.58269,8.2401,8.70215,10.36598,8.20982,9.65556,9.15572,9.18815,9.16673,8.2743,9.74601,9.63792,8.80681,9.55851,9.42884,10.36459,9.08331,8.89926,8.32431,8.32955,8.68958,8.18802,8.07699,7.9913,8.53992,8.36097,8.53572,8.39183,8.13663,8.35678,10.52323,8.25546,8.18658,8.18718,9.00103,8.70036,8.08165,8.25237,8.9916,9.09947,9.33158,10.34638,8.92803,9.21316,7.7931,8.31189,8.27271,9.10697,8.35672,8.11695,8.09166,8.31907,8.71354,8.8604
"CXCL1",10.28667,9.95204,8.0471,9.89881,10.11614,9.04907,9.20907,9.24086,10.0552,10.99925,9.58159,9.46625,10.94573,10.46041,10.27768,9.83644,10.19085,10.42083,10.22701,13.21777,9.10768,9.73325,8.25412,10.12534,10.0872,8.86162,9.65858,10.54579,10.43509,10.88175,9.30838,9.63701,10.10337,9.78564,10.20839,10.17549,10.6859,10.03199,9.89405,7.58334,13.94289,10.09873,9.34183,9.74599,10.25741,10.80481,9.33971,10.33916,8.87799,8.75517,9.54702,8.56966,10.59246,9.15982,9.20968,9.26188,10.1539,10.74725,9.52647,9.66062,10.01715,9.50934,10.76953,10.49085,13.8716,9.51206,9.44242,8.78127,8.65729,8.99138,9.0787,9.5599,8.83575,9.17189,9.06421,9.11866,9.31274,9.24849,9.01072,8.98069,9.60209,9.43143,8.76141,8.58717,7.67381,8.5545,9.31007,8.57618,9.64548,8.98939,8.91216,9.13289,8.32343,8.9331,9.05755,9.28421,9.41681,8.18044,12.86235,8.55107,12.92328
"TNFSF14",8.28318,4.56001,5.24502,6.43799,5.95259,4.60423,5.99923,6.94502,5.02365,7.90884,5.42272,7.00103,5.28498,6.89128,7.7171,5.25334,5.20998,5.07114,6.32825,6.53877,5.39239,4.6582,4.89141,7.12454,8.32615,5.25761,6.01788,5.79765,5.0347,4.62827,4.6353,6.43064,4.83823,4.55769,6.24107,5.51659,5.59971,6.01775,5.71786,7.94991,7.09384,6.23636,5.72274,7.33599,7.81852,5.22937,5.86868,5.39513,5.88695,5.37955,6.46547,5.31758,6.19207,6.79573,5.32362,6.11723,5.90072,5.26671,5.52629,5.05372,6.61476,5.63173,5.74119,7.73476,7.88662,4.78543,4.87839,4.92671,6.0856,4.80248,5.57751,5.0731,5.41326,6.19929,7.15462,5.97787,7.10172,4.47263,3.90975,4.98604,5.52657,5.71847,5.1459,5.29538,5.85903,6.93331,6.76619,5.55825,7.66663,4.81099,5.35447,4.26339,6.32353,6.6041,6.20004,6.89416,5.51577,5.55495,6.57874,6.56856,7.32565
"IL33",3.3912,1.47233,1.52151,1.75555,1.41017,1.08555,1.22667,0.7558,0.87971,1.1613,0.59049,3.01615,1.58,1.86289,3.1547,1.01964,0.73755,1.17603,1.74007,0.94906,0.86299,0.83485,0.47542,2.75584,1.91054,0.98294,1.89274,1.60288,0.71227,0.60534,0.49949,0.76896,1.44055,0.89493,1.8325,1.431,0.99449,1.26402,0.69387,0.86369,0.8205,1.58389,1.18057,0.92578,2.08941,1.04742,0.95814,1.32328,0.4057,2.62825,2.56059,0.98802,1.23852,1.57497,1.02394,1.20488,0.65366,1.30094,1.54561,0.92418,1.77142,1.20748,1.10006,1.35208,1.70051,-1.22441,-0.8834,-0.71969,0.53929,-0.86001,-0.98394,-0.25023,0.51815,0.03568,-1.05303,-0.62296,0.31807,-0.26609,-0.93943,-0.6315,-0.51045,1.52064,-0.56815,-0.3334,-0.73718,-0.17392,0.62102,-0.67484,1.66692,-0.39841,0.45166,-0.75672,0.59439,-0.2164,0.17649,0.00618,-0.76319,-0.70583,-0.70962,-0.50648,-0.73792
"TWEAK",9.27355,8.6789,8.96517,9.38419,9.41035,8.1406,8.85023,7.44645,8.35745,8.93644,8.10466,10.00535,9.27576,10.01721,9.76857,9.43299,8.55265,8.13627,9.02453,7.99837,8.66499,9.05051,8.73525,8.58559,9.40975,8.3947,8.73167,8.45363,8.67282,8.2426,8.45773,8.35051,8.44488,8.38467,8.93128,8.94246,8.17338,9.15294,8.26692,10.08959,7.5491,8.53159,9.1484,9.51766,9.91882,8.1107,9.79009,8.66692,7.39685,8.82102,9.19081,8.43202,8.84195,9.44216,8.73001,9.34279,7.25945,8.61999,8.86058,9.13585,8.84929,8.89558,8.39855,8.44546,7.51094,7.98354,7.92994,8.12398,9.13443,8.06865,8.01343,7.72041,7.78307,8.77137,8.4043,8.35519,8.28185,7.65748,7.7677,7.85287,7.90231,8.96905,8.29321,8.04287,7.80589,8.71246,8.68185,8.83773,8.86776,7.83457,8.0462,7.59146,8.15588,8.18357,8.86057,8.2806,6.58425,6.52835,6.75274,6.53066,6.76019
"PDGF.subunit.B",9.97406,10.7341,10.23426,10.99638,11.21195,9.51789,9.42766,11.13899,10.94708,10.09105,9.61829,11.31312,10.94791,10.98746,11.60986,10.74176,11.12026,9.31796,10.35371,8.13663,9.95688,9.66019,9.15594,10.9943,11.14911,7.66061,9.40182,11.45423,10.57197,8.88045,9.37209,9.78054,10.22893,9.70775,10.08902,9.83934,9.85324,11.00847,10.85493,9.39829,10.44104,10.7743,10.39434,11.37157,11.28165,9.64085,10.63569,10.18846,10.10696,8.94653,10.21535,9.69111,11.08308,10.534,10.61096,10.84721,10.04853,9.65692,10.65434,9.29536,10.71714,10.56511,11.1446,10.25021,11.13685,10.15838,9.98923,9.70381,8.76518,9.8282,9.26636,9.53333,8.9617,9.30735,9.69177,10.26895,10.15204,9.10992,8.36944,9.84623,9.74276,10.10993,10.08288,8.93646,9.22003,9.73818,9.7731,9.71459,10.52474,8.57355,8.61594,7.93309,9.50226,8.16358,10.03285,9.19281,9.35904,9.38195,9.58833,10.3982,10.37072
"PDCD1",7.29663,5.34687,4.88183,5.63107,5.08677,5.02958,4.80202,3.72246,4.7514,6.11058,4.87566,5.22978,6.22516,7.24528,5.6009,4.70765,4.88089,5.0587,4.85429,5.11236,4.92274,5.47178,4.8127,4.85696,5.09514,5.53117,5.39564,4.69485,4.7639,4.87585,5.67016,5.10362,5.31918,5.55335,4.48668,5.43607,5.38384,4.63812,5.19424,5.63719,4.05673,5.58336,5.37734,6.3192,5.24538,5.96448,6.61131,4.62648,3.95388,4.82109,4.58908,4.84991,6.82207,5.62705,4.81152,5.63955,3.94068,7.1154,5.83305,5.94598,5.3975,4.51806,5.10036,5.79097,3.93972,5.04325,4.75431,5.1824,4.41824,4.40675,4.42226,4.18617,4.87498,4.30796,4.10453,4.72175,3.81519,4.70892,4.50692,4.49772,5.13258,4.76988,4.8666,4.34668,4.83976,4.37036,4.54957,5.68421,4.88684,3.71486,4.78568,4.76346,4.37935,4.74309,4.26575,4.11202,3.30277,3.45515,3.33217,2.92149,3.04142
"FASLG",8.14276,6.892,6.80625,7.57388,7.74222,6.77552,7.42664,7.13746,7.28198,7.21842,7.15644,7.58953,7.82292,8.1862,7.55183,6.42028,7.43975,7.41669,6.96066,5.31987,7.22294,7.554,6.79164,6.58191,7.22181,7.23336,7.03713,6.54563,7.72876,6.14025,7.53534,7.47847,7.5589,7.7042,6.78879,7.70259,7.36855,6.26158,5.70166,6.73531,6.55086,7.20353,7.4997,8.33255,8.0844,7.38302,8.94213,7.73198,6.65883,7.74216,6.57335,7.37152,6.61473,7.01238,6.09851,7.81717,6.34487,8.95816,6.85892,6.81733,7.21919,7.02726,5.0259,6.21078,7.00629,6.85772,6.87983,6.72165,4.97247,6.1435,5.43317,5.6589,5.73536,7.2853,5.80632,6.56298,5.18667,6.54603,6.37719,7.18607,6.71131,6.73557,6.09521,6.03863,5.74008,4.8158,5.13415,7.77332,6.64043,5.83048,6.19206,6.31122,5.75359,6.00987,5.73729,4.95036,5.41298,5.63755,5.61493,6.06448,6.09306
"CD28",1.92559,0.57523,0.77889,1.23732,0.91665,0.97217,0.78864,0.62584,0.6161,1.43286,0.49294,1.24537,1.05725,1.86696,1.12527,0.90328,0.74517,1.85452,0.95979,0.96069,0.73287,0.98331,0.87989,0.65431,0.9943,1.68911,1.28657,0.78928,0.73655,0.6007,0.77761,1.05489,1.07425,0.77555,2.24857,1.22909,2.28208,0.77229,0.51524,1.16078,0.69447,1.77481,0.80476,5.68747,1.00227,2.10055,1.45215,0.91263,0.55865,1.03962,0.7001,0.79383,1.55932,0.91053,0.60956,0.9551,0.40226,1.9082,1.20377,0.97129,0.8456,0.79979,0.76896,0.71691,0.77215,-0.17132,-0.40461,0.40435,1.55716,-0.48229,-0.56896,0.3232,0.8529,0.07883,0.8041,-0.41559,0.01152,-0.01112,-0.50835,-0.35528,0.37423,0.02902,0.19162,-0.40828,-0.34247,0.28964,0.68344,0.19609,0.08784,0.15415,0.44858,-0.0018,-0.43628,-0.00712,0.33256,0.77499,-0.85402,-0.54427,-0.45092,-0.48853,-0.60735
"CCL19",11.71829,15.23884,10.27751,11.21067,10.37673,11.64749,10.91519,11.72869,10.88194,11.32895,10.20264,11.54882,11.4818,12.43405,9.65924,10.54827,11.02681,12.51297,10.9621,11.95836,10.68547,11.28515,10.93249,9.74364,10.87142,10.44312,11.94042,9.39326,10.88059,11.49852,10.58349,11.22652,10.23293,10.91666,10.41995,12.29618,11.4216,10.57811,8.71217,11.58244,11.32416,12.03747,10.86763,12.30824,11.36916,11.62314,11.63548,11.77385,9.51408,10.0271,11.62585,11.41479,10.73107,11.70971,13.53598,10.60059,9.2355,12.13055,10.99287,12.38666,9.47238,10.54681,11.08978,8.91588,12.65258,10.16595,10.19405,10.48179,9.34775,9.45568,9.78881,8.96708,8.28533,9.93372,10.49082,10.3264,9.14455,12.11521,10.01198,9.52739,11.89224,9.6493,9.85502,9.68452,8.80654,8.49445,9.51322,10.33794,7.91924,10.32055,10.82974,9.27703,8.76385,9.18347,9.07118,9.26205,7.77107,8.10888,9.38126,10.42739,11.2465
