"","RS05272016SE_T2","TB05292018TC_T1","MM10082018TM_T1","MM01112019VJ_T1","MM04192019YF_T1","MM_0257_BM_03_NA","MM_1951_BM_04_NA","Takeda_Ctrl_15_P1","P1_HDPlasma_1017_1","TB12092016KL_T4","TB06182018RS_T1","MM10082018TM_T2","MM10132017WL_T3","MM02152019JN_T2","MM_0422_BM_02_NA","MM_0590_BM_03_NA","P1_HDPlasma_1017_2","TB3040_T3","TB04052017KK_T2","TB11012017JH_T3","MM08082018SM_T2","MM02152019JN_T1","MM05032018RK_T2","MM_0237_BM_03_NA","MM_0501_BM_04_NA","RS05272016SE_T1","TB08112017JC_T2","TB07262018HF_T1","MM12102018KD_T2","MM08022018JO_T2","MM12062018MK_T3","MM_1951_BM_03_NA","TB01092018VC_T2","TB7083_T1","TB11012017JH_T2","TB08022018JO_T1","MM12142018RH_T1","MM04052017KK_T3","MM01142019GB_T2","MM_0255_BM_03_NA","Takeda_Ctrl_2_P1","TB3040_T5","TB05032018RK_T1","TB08082018SM_T1","MM01042019CA_T1","MM12192018RH_T3","MM08052019TJ_T1","MM_0002_BM_04_NA","Takeda_Ctrl_5_P1","TB07052017VC_T1","TB05112018JD_T1","MM04172018DG_T2","MM12062018MK_T2","MM01042019CA_T2","MM05292018TC_T2","MM_0591_BM_02_NA","Takeda_Ctrl_8_P1","TB7077_T3","TB05232018SL_T1","MM10132017WL_T2","MM01142019GB_T1","MM04182019JJ_T1","MM05112018JD_T4","MM_0569_BM_02_NA","Takeda_Ctrl_12_P1","P2_HDPlasma_1017_1","P2_HDPlasma_1017_2","38Pre_TB06112018PS","38Post_MM_0370_BM_03","39Pre_MM_1330_BM_01","39Post_MM_1330_BM_02","41Pre_MM01152019WM","41Post_MM_0502_BM_02","42Pre_TB08282017SN","42Post_MM_0382_BM_03","43Pre_MM_5209_BM_01","43Post_MM_5209_BM_02","44Pre_MM_5278_BM_01","44Post_MM_5278_BM_02","45Pre_MM09282018MWM","45Post_MM_0418_BM_03","46Pre_MM06042018MH","46Post_MM_0327_BM_03","47Pre_TB05172017KR","47Post_MM05172017KR","48Pre_TB05212013MT","48Post_MM05212013MT","20Pre_MM08052019TJ","20Post_MM_0422 BM_02","11Pre_ TB08112017JC","11Post_ TB08112017JC","28On_RS12092016KL","22On_MM07262018HF","25On_MM06182018RS","31On_MM04182019JJ","38On_MM_0370_BM_02","Takeda_Ctrl_8_P2","Takeda_Ctrl_5_P2","Takeda_Ctrl_2_P2","Takeda_Ctrl_15_P2","Takeda_Ctrl_12_P2"
"IL18",10.61168,9.3608,9.43983,11.37203,9.79575,9.53969,9.55163,7.52768,8.59353,11.66954,10.95418,11.74227,10.07154,12.40166,10.92977,10.21074,8.68434,9.18331,9.88046,13.81348,9.21137,9.9579,9.18984,10.23398,10.88457,9.67013,10.55481,9.44525,8.65293,10.1788,9.43878,10.53559,9.79021,9.69403,11.14017,9.92187,10.33374,10.42881,10.31745,10.81529,7.97608,10.1727,9.20301,10.33324,9.95558,9.97033,10.0737,9.02875,7.6463,9.59829,10.58334,9.91,10.3221,10.27417,10.03271,10.38016,7.57661,9.2507,10.02487,10.40216,11.29879,9.84469,10.77365,10.45601,7.83031,8.92531,8.90648,9.50909,11.30726,8.72985,9.84864,10.70801,10.64561,10.39461,10.41738,8.65947,9.93574,11.23393,11.02277,9.5198,10.32232,10.86432,9.89182,9.93849,11.59257,12.01542,11.69811,10.11382,11.07632,9.68773,10.73402,11.11264,10.5771,12.18117,10.95352,11.30598,7.63968,7.66179,7.91887,7.48863,7.84802
"GZMH",11.51525,5.33747,4.79501,9.37237,7.90461,6.08595,7.42956,5.33443,7.71744,9.70467,4.2195,8.31446,4.80678,8.75752,11.38157,3.54242,7.81147,9.48633,8.96662,5.56863,6.92465,6.86661,6.88671,9.1197,10.71468,7.58233,8.30885,6.37671,5.8752,3.13121,4.49028,8.06047,6.63009,6.34297,5.98051,5.01196,8.7026,7.42032,6.20945,6.38189,4.2969,8.20459,7.77597,11.41533,9.73576,6.46616,8.16373,7.81661,3.9469,8.42515,7.51067,6.48116,8.70798,10.56148,5.54439,8.24666,3.73549,9.15903,7.55821,5.82176,8.7903,4.9669,5.72242,5.45763,5.27556,7.47252,7.30083,6.2561,4.31279,4.59597,5.46362,8.27405,10.01232,7.14321,5.00131,8.65387,5.97812,8.5703,5.44764,4.80211,7.37634,9.84749,7.53543,7.67128,7.54155,5.34481,6.47448,7.8085,11.18159,6.76068,7.2505,6.06769,10.00902,5.6428,4.90535,4.36638,3.63385,4.15049,4.05333,5.35319,5.39842
"KIR3DL1",-0.82296,1.65985,0.7051,-0.22862,1.41812,1.30632,2.1149,-0.06911,0.7577,-0.63016,1.59723,1.31274,1.37365,2.94225,0.31884,-0.36542,0.72984,-0.3859,1.54892,-0.15825,-0.13506,3.15796,-0.17297,0.93367,-0.4268,-0.97118,0.54597,2.40603,0.59937,1.87415,2.36754,0.1362,-0.31043,-0.77819,0.96134,2.64511,0.53917,1.36314,-0.19477,1.6994,-0.12167,-0.67389,0.7695,1.39233,1.07451,0.70743,1.78427,0.43946,-0.43322,-0.50445,1.67529,1.22131,1.7673,0.06623,0.46692,0.272,-0.0867,3.7923,0.69625,0.25243,1.18419,1.31205,0.46214,-0.09559,0.73177,1.24074,1.15826,2.89251,1.49175,2.9778,0.1006,0.7893,0.62821,1.45972,0.4134,1.93524,0.93481,2.52702,0.85038,0.80866,-0.18566,-0.45078,-0.07902,-0.73649,0.14933,0.90125,1.25771,1.78295,0.38359,0.36332,0.86544,-0.24145,0.21214,1.98631,0.35932,0.90347,-0.26701,-0.41321,0.28016,-0.06894,0.49004
"LAP.TGF.beta.1",11.4511,9.23907,8.46127,9.59494,8.90528,7.96339,9.11762,8.91688,8.83303,9.2861,8.52549,10.39281,9.5534,10.49293,10.73566,9.37782,8.97301,10.46035,9.16969,8.96242,8.80986,9.24332,8.52273,9.10726,9.43504,8.85997,9.7636,10.41119,9.7334,8.89181,8.83973,9.01568,8.62976,8.68583,8.76347,8.70941,9.52405,9.22783,9.52614,9.09225,8.53488,10.31505,9.39847,12.74646,9.93259,9.36944,9.99718,8.48721,8.14462,8.60667,10.2705,8.11434,9.56008,9.06024,9.09267,9.07125,8.17882,9.65053,9.54244,8.71133,9.46303,9.33336,10.26911,8.98783,8.80378,8.41979,8.42503,8.78506,8.2835,8.17247,8.08678,8.6354,8.45645,8.6312,8.48731,8.23211,8.45226,10.61871,8.35094,8.28206,8.28266,9.09651,8.79584,8.17713,8.34785,9.08708,9.19495,9.42706,10.44186,9.02351,9.30864,7.88858,8.40737,8.36819,9.20245,8.4522,8.21243,8.18714,8.41455,8.80902,8.95588
"CXCL1",9.87134,9.53671,7.63177,9.48348,9.70081,8.63374,8.79374,8.82553,9.63987,10.58392,9.16626,9.05092,10.5304,10.04508,9.86235,9.42111,9.77552,10.0055,9.81168,12.80244,8.69235,9.31792,7.83879,9.71001,9.67187,8.44629,9.24325,10.13046,10.01976,10.46642,8.89305,9.22168,9.68804,9.37031,9.79306,9.76016,10.27057,9.61666,9.47872,7.16801,13.52756,9.6834,8.9265,9.33066,9.84208,10.38948,8.92438,9.92383,8.46266,8.33984,9.13169,8.15433,10.17713,8.74449,8.79435,8.84655,9.73857,10.33192,9.11114,9.24529,9.60182,9.09401,10.3542,10.07552,13.45627,9.92739,9.85775,9.1966,9.07262,9.40671,9.49403,9.97523,9.25108,9.58722,9.47954,9.53399,9.72807,9.66382,9.42605,9.39602,10.01742,9.84676,9.17674,9.0025,8.08914,8.96983,9.7254,8.99151,10.06081,9.40472,9.32749,9.54822,8.73876,9.34843,9.47288,9.69954,9.83214,8.59577,13.27768,8.9664,13.33861
"TNFSF14",8.06623,4.34306,5.02807,6.22104,5.73564,4.38728,5.78228,6.72807,4.8067,7.69189,5.20577,6.78408,5.06803,6.67433,7.50015,5.03639,4.99303,4.85419,6.1113,6.32182,5.17544,4.44125,4.67446,6.90759,8.1092,5.04066,5.80093,5.5807,4.81775,4.41132,4.41835,6.21369,4.62128,4.34074,6.02412,5.29964,5.38276,5.8008,5.50091,7.73296,6.87689,6.01941,5.50579,7.11904,7.60157,5.01242,5.65173,5.17818,5.67,5.1626,6.24852,5.10063,5.97512,6.57878,5.10667,5.90028,5.68377,5.04976,5.30934,4.83677,6.39781,5.41478,5.52424,7.51781,7.66967,5.00238,5.09534,5.14366,6.30255,5.01943,5.79446,5.29005,5.63021,6.41624,7.37157,6.19482,7.31867,4.68958,4.1267,5.20299,5.74352,5.93542,5.36285,5.51233,6.07598,7.15026,6.98314,5.7752,7.88358,5.02794,5.57142,4.48034,6.54048,6.82105,6.41699,7.11111,5.73272,5.7719,6.79569,6.78551,7.5426
"IL33",2.61528,0.69641,0.74559,0.97963,0.63425,0.30963,0.45075,-0.02012,0.10379,0.38538,-0.18543,2.24023,0.80408,1.08697,2.37878,0.24372,-0.03837,0.40011,0.96415,0.17314,0.08707,0.05893,-0.3005,1.97992,1.13462,0.20702,1.11682,0.82696,-0.06365,-0.17058,-0.27643,-0.00696,0.66463,0.11901,1.05658,0.65508,0.21857,0.4881,-0.08205,0.08777,0.04458,0.80797,0.40465,0.14986,1.31349,0.2715,0.18222,0.54736,-0.37022,1.85233,1.78467,0.2121,0.4626,0.79905,0.24802,0.42896,-0.12226,0.52502,0.76969,0.14826,0.9955,0.43156,0.32414,0.57616,0.92459,-0.44849,-0.10748,0.05623,1.31521,-0.08409,-0.20802,0.52569,1.29407,0.8116,-0.27711,0.15296,1.09399,0.50983,-0.16351,0.14442,0.26547,2.29656,0.20777,0.44252,0.03874,0.602,1.39694,0.10108,2.44284,0.37751,1.22758,0.0192,1.37031,0.55952,0.95241,0.7821,0.01273,0.07009,0.0663,0.26944,0.038
"TWEAK",8.87289,8.27824,8.56451,8.98353,9.00969,7.73994,8.44957,7.04579,7.95679,8.53578,7.704,9.60469,8.8751,9.61655,9.36791,9.03233,8.15199,7.73561,8.62387,7.59771,8.26433,8.64985,8.33459,8.18493,9.00909,7.99404,8.33101,8.05297,8.27216,7.84194,8.05707,7.94985,8.04422,7.98401,8.53062,8.5418,7.77272,8.75228,7.86626,9.68893,7.14844,8.13093,8.74774,9.117,9.51816,7.71004,9.38943,8.26626,6.99619,8.42036,8.79015,8.03136,8.44129,9.0415,8.32935,8.94213,6.85879,8.21933,8.45992,8.73519,8.44863,8.49492,7.99789,8.0448,7.11028,8.3842,8.3306,8.52464,9.53509,8.46931,8.41409,8.12107,8.18373,9.17203,8.80496,8.75585,8.68251,8.05814,8.16836,8.25353,8.30297,9.36971,8.69387,8.44353,8.20655,9.11312,9.08251,9.23839,9.26842,8.23523,8.44686,7.99212,8.55654,8.58423,9.26123,8.68126,6.98491,6.92901,7.1534,6.93132,7.16085
"PDGF.subunit.B",9.59665,10.35669,9.85685,10.61897,10.83454,9.14048,9.05025,10.76158,10.56967,9.71364,9.24088,10.93571,10.5705,10.61005,11.23245,10.36435,10.74285,8.94055,9.9763,7.75922,9.57947,9.28278,8.77853,10.61689,10.7717,7.2832,9.02441,11.07682,10.19456,8.50304,8.99468,9.40313,9.85152,9.33034,9.71161,9.46193,9.47583,10.63106,10.47752,9.02088,10.06363,10.39689,10.01693,10.99416,10.90424,9.26344,10.25828,9.81105,9.72955,8.56912,9.83794,9.3137,10.70567,10.15659,10.23355,10.4698,9.67112,9.27951,10.27693,8.91795,10.33973,10.1877,10.76719,9.8728,10.75944,10.53579,10.36664,10.08122,9.14259,10.20561,9.64377,9.91074,9.33911,9.68476,10.06918,10.64636,10.52945,9.48733,8.74685,10.22364,10.12017,10.48734,10.46029,9.31387,9.59744,10.11559,10.15051,10.092,10.90215,8.95096,8.99335,8.3105,9.87967,8.54099,10.41026,9.57022,9.73645,9.75936,9.96574,10.77561,10.74813
"PDCD1",6.94058,4.99082,4.52578,5.27502,4.73072,4.67353,4.44597,3.36641,4.39535,5.75453,4.51961,4.87373,5.86911,6.88923,5.24485,4.3516,4.52484,4.70265,4.49824,4.75631,4.56669,5.11573,4.45665,4.50091,4.73909,5.17512,5.03959,4.3388,4.40785,4.5198,5.31411,4.74757,4.96313,5.1973,4.13063,5.08002,5.02779,4.28207,4.83819,5.28114,3.70068,5.22731,5.02129,5.96315,4.88933,5.60843,6.25526,4.27043,3.59783,4.46504,4.23303,4.49386,6.46602,5.271,4.45547,5.2835,3.58463,6.75935,5.477,5.58993,5.04145,4.16201,4.74431,5.43492,3.58367,5.3993,5.11036,5.53845,4.77429,4.7628,4.77831,4.54222,5.23103,4.66401,4.46058,5.0778,4.17124,5.06497,4.86297,4.85377,5.48863,5.12593,5.22265,4.70273,5.19581,4.72641,4.90562,6.04026,5.24289,4.07091,5.14173,5.11951,4.7354,5.09914,4.6218,4.46807,3.65882,3.8112,3.68822,3.27754,3.39747
