"","RS05272016SE_T2","TB05292018TC_T1","MM10082018TM_T1","MM01112019VJ_T1","MM04192019YF_T1","MM_0257_BM_03_NA","MM_1951_BM_04_NA","Takeda_Ctrl_15_P1","P1_HDPlasma_1017_1","TB12092016KL_T4","TB06182018RS_T1","MM10082018TM_T2","MM10132017WL_T3","MM02152019JN_T2","MM_0422_BM_02_NA","MM_0590_BM_03_NA","P1_HDPlasma_1017_2","TB3040_T3","TB04052017KK_T2","TB11012017JH_T3","MM08082018SM_T2","MM02152019JN_T1","MM05032018RK_T2","MM_0237_BM_03_NA","MM_0501_BM_04_NA","RS05272016SE_T1","TB08112017JC_T2","TB07262018HF_T1","MM12102018KD_T2","MM08022018JO_T2","MM12062018MK_T3","MM_1951_BM_03_NA","TB01092018VC_T2","TB7083_T1","TB11012017JH_T2","TB08022018JO_T1","MM12142018RH_T1","MM04052017KK_T3","MM01142019GB_T2","MM_0255_BM_03_NA","Takeda_Ctrl_2_P1","TB3040_T5","TB05032018RK_T1","TB08082018SM_T1","MM01042019CA_T1","MM12192018RH_T3","MM08052019TJ_T1","MM_0002_BM_04_NA","Takeda_Ctrl_5_P1","TB07052017VC_T1","TB05112018JD_T1","MM04172018DG_T2","MM12062018MK_T2","MM01042019CA_T2","MM05292018TC_T2","MM_0591_BM_02_NA","Takeda_Ctrl_8_P1","TB7077_T3","TB05232018SL_T1","MM10132017WL_T2","MM01142019GB_T1","MM04182019JJ_T1","MM05112018JD_T4","MM_0569_BM_02_NA","Takeda_Ctrl_12_P1","P2_HDPlasma_1017_1","P2_HDPlasma_1017_2","38Pre_TB06112018PS","38Post_MM_0370_BM_03","39Pre_MM_1330_BM_01","39Post_MM_1330_BM_02","41Pre_MM01152019WM","41Post_MM_0502_BM_02","42Pre_TB08282017SN","42Post_MM_0382_BM_03","43Pre_MM_5209_BM_01","43Post_MM_5209_BM_02","44Pre_MM_5278_BM_01","44Post_MM_5278_BM_02","45Pre_MM09282018MWM","45Post_MM_0418_BM_03","46Pre_MM06042018MH","46Post_MM_0327_BM_03","47Pre_TB05172017KR","47Post_MM05172017KR","48Pre_TB05212013MT","48Post_MM05212013MT","20Pre_MM08052019TJ","20Post_MM_0422 BM_02","11Pre_ TB08112017JC","11Post_ TB08112017JC","28On_RS12092016KL","22On_MM07262018HF","25On_MM06182018RS","31On_MM04182019JJ","38On_MM_0370_BM_02","Takeda_Ctrl_8_P2","Takeda_Ctrl_5_P2","Takeda_Ctrl_2_P2","Takeda_Ctrl_15_P2","Takeda_Ctrl_12_P2"
"FASLG",7.65523,6.40447,6.31872,7.08635,7.25469,6.28799,6.93911,6.64993,6.79445,6.73089,6.66891,7.102,7.33539,7.69867,7.0643,5.93275,6.95222,6.92916,6.47313,4.83234,6.73541,7.06647,6.30411,6.09438,6.73428,6.74583,6.5496,6.0581,7.24123,5.65272,7.04781,6.99094,7.07137,7.21667,6.30126,7.21506,6.88102,5.77405,5.21413,6.24778,6.06333,6.716,7.01217,7.84502,7.59687,6.89549,8.4546,7.24445,6.1713,7.25463,6.08582,6.88399,6.1272,6.52485,5.61098,7.32964,5.85734,8.47063,6.37139,6.3298,6.73166,6.53973,4.53837,5.72325,6.51876,7.34525,7.36736,7.20918,5.46,6.63103,5.9207,6.14643,6.22289,7.77283,6.29385,7.05051,5.6742,7.03356,6.86472,7.6736,7.19884,7.2231,6.58274,6.52616,6.22761,5.30333,5.62168,8.26085,7.12796,6.31801,6.67959,6.79875,6.24112,6.4974,6.22482,5.43789,5.90051,6.12508,6.10246,6.55201,6.58059
"CD28",1.32574,-0.02462,0.17904,0.63747,0.3168,0.37232,0.18879,0.02599,0.01625,0.83301,-0.10691,0.64552,0.4574,1.26711,0.52542,0.30343,0.14532,1.25467,0.35994,0.36084,0.13302,0.38346,0.28004,0.05446,0.39445,1.08926,0.68672,0.18943,0.1367,0.00085,0.17776,0.45504,0.4744,0.1757,1.64872,0.62924,1.68223,0.17244,-0.08461,0.56093,0.09462,1.17496,0.20491,5.08762,0.40242,1.5007,0.8523,0.31278,-0.0412,0.43977,0.10025,0.19398,0.95947,0.31068,0.00971,0.35525,-0.19759,1.30835,0.60392,0.37144,0.24575,0.19994,0.16911,0.11706,0.1723,0.42853,0.19524,1.0042,2.15701,0.11756,0.03089,0.92305,1.45275,0.67868,1.40395,0.18426,0.61137,0.58873,0.0915,0.24457,0.97408,0.62887,0.79147,0.19157,0.25738,0.88949,1.28329,0.79594,0.68769,0.754,1.04843,0.59805,0.16357,0.59273,0.93241,1.37484,-0.25417,0.05558,0.14893,0.11132,-0.0075
"CCL19",10.9663,14.48685,9.52552,10.45868,9.62474,10.8955,10.1632,10.9767,10.12995,10.57696,9.45065,10.79683,10.72981,11.68206,8.90725,9.79628,10.27482,11.76098,10.21011,11.20637,9.93348,10.53316,10.1805,8.99165,10.11943,9.69113,11.18843,8.64127,10.1286,10.74653,9.8315,10.47453,9.48094,10.16467,9.66796,11.54419,10.66961,9.82612,7.96018,10.83045,10.57217,11.28548,10.11564,11.55625,10.61717,10.87115,10.88349,11.02186,8.76209,9.27511,10.87386,10.6628,9.97908,10.95772,12.78399,9.8486,8.48351,11.37856,10.24088,11.63467,8.72039,9.79482,10.33779,8.16389,11.90059,10.91794,10.94604,11.23378,10.09974,10.20767,10.5408,9.71907,9.03732,10.68571,11.24281,11.07839,9.89654,12.8672,10.76397,10.27938,12.64423,10.40129,10.60701,10.43651,9.55853,9.24644,10.26521,11.08993,8.67123,11.07254,11.58173,10.02902,9.51584,9.93546,9.82317,10.01404,8.52306,8.86087,10.13325,11.17938,11.99849
"MCP.2",8.78463,8.8337,6.85393,8.79996,8.93405,7.86414,8.66477,14.71801,8.39786,10.00367,8.50769,9.40142,7.91586,9.45838,9.49445,9.41698,8.55643,8.85547,8.45229,8.88842,7.86517,8.76838,8.10755,9.19868,10.89678,7.92264,8.9991,8.38597,9.05002,8.9146,9.18067,8.79519,8.03152,8.52167,9.38565,8.67065,7.53171,8.25003,8.21239,7.8035,13.57336,8.53339,8.4108,8.8061,8.82143,8.37012,8.9785,9.83418,14.60159,8.1999,8.86533,7.64205,8.95213,8.43961,8.57683,9.55102,8.9893,8.16516,8.16494,7.46367,8.7377,8.40596,8.6278,7.92988,13.60979,8.8391,8.90269,7.76047,9.80458,8.13523,8.46451,9.12202,8.01082,9.15106,8.39881,8.36603,8.04303,9.65904,8.5629,8.24724,8.59118,9.65272,8.83493,8.41951,8.39759,8.00412,8.39763,8.97063,9.44818,9.18409,9.1706,8.71532,9.23096,9.1662,9.60452,9.32532,9.12308,14.51038,13.50895,14.65727,13.69239
"CCL4",7.72363,6.12394,7.42307,7.98584,6.93127,7.24399,6.69393,11.27536,5.92181,7.03966,5.80676,10.65962,7.60435,8.70226,8.3835,7.65806,6.09499,9.70876,6.04498,7.62992,6.09017,6.75161,6.60794,8.78371,9.82725,7.26744,7.51516,6.93674,7.47251,7.75906,8.39396,7.0545,6.88886,6.29339,7.43348,7.43105,7.46145,7.00794,7.41874,6.63334,13.92306,8.6696,6.4763,7.46908,8.23047,7.62083,7.78995,7.03152,11.9856,7.07211,6.73297,5.83659,6.18603,8.28214,6.49402,7.87025,11.35196,7.03679,6.15909,6.41012,6.89697,6.81008,7.90338,7.35744,13.23391,6.25605,6.38372,6.6461,7.63032,6.47885,7.15228,7.66616,6.61939,7.65435,7.22252,7.13666,6.89595,9.3358,6.84865,7.37991,8.03794,6.72066,7.26091,6.41871,7.65875,7.88749,8.19152,7.55085,8.23362,7.0187,7.59641,6.40289,7.39485,7.30744,8.45532,7.82149,11.47586,11.96932,13.65401,11.29929,13.37143
"IL15",5.44175,4.59902,5.0548,5.02076,4.4972,5.14189,5.22434,3.68538,4.62266,6.64104,4.95823,5.49427,5.26984,6.33659,5.90102,7.10567,5.02481,5.30202,4.83486,6.50981,5.11678,4.85276,4.85547,5.44613,5.83723,5.09111,6.03547,4.7896,5.2154,6.62894,4.98419,5.64208,5.57279,4.85761,5.60402,4.89922,5.61959,6.14067,6.16,5.9684,3.59618,5.07611,4.7304,5.28175,5.69609,6.11148,6.65007,5.51271,3.86048,5.24404,5.8334,4.92129,5.08924,5.67249,5.83609,4.70386,3.36634,6.02483,5.2758,5.75297,5.82652,4.99981,6.75417,6.16175,3.69254,5.36376,5.33793,5.14836,6.45939,5.09192,6.87845,5.28183,5.24277,5.51092,7.69213,5.34846,6.32613,5.68675,6.18264,4.87727,5.85294,5.99335,6.02487,5.25843,5.9184,7.07916,7.03073,6.5326,5.95322,6.18703,6.37731,5.75456,5.14793,6.2057,7.45479,7.22555,3.60955,3.85094,3.59622,3.45562,3.68855
"Gal.1",7.45971,7.47735,7.18911,7.18076,7.60248,7.44637,7.09978,5.83033,6.33932,7.75936,6.82489,7.06324,7.0707,7.34382,7.05246,7.33927,6.49316,7.28521,7.48363,7.59159,7.45797,7.38733,7.4224,7.40945,7.01788,7.52717,7.60523,7.55839,7.44711,7.42966,7.51611,7.65733,7.62637,7.55177,7.47809,7.66717,7.37091,7.55345,7.55999,7.01078,6.31386,7.47592,7.44756,7.31744,7.22648,7.34702,7.26599,7.62628,5.81721,7.32955,7.11275,7.39155,7.54795,7.10774,7.38384,7.33552,5.79258,7.73478,7.29998,6.97978,7.27718,7.42973,7.54574,7.23683,6.23767,6.75558,6.78613,7.48456,6.95315,7.67851,7.698,7.69992,7.56214,7.42235,7.53692,7.66897,7.45178,7.43529,7.39347,7.60348,7.7505,7.22974,7.6001,7.45767,7.53254,7.44279,7.59487,7.32417,6.97808,7.41998,7.60654,7.6736,7.5261,7.49833,7.35338,7.49059,5.85859,5.92663,6.19387,5.8648,6.14774
"PD.L1",6.52172,6.02907,5.74061,5.97597,6.37284,5.4135,5.54637,5.13535,5.90229,6.51696,6.5442,10.76649,5.74723,8.24933,6.09342,5.97221,6.03149,9.8848,7.13447,6.47416,4.89326,7.2597,5.44052,6.07326,6.06593,5.90949,6.67923,7.48952,5.82283,6.42564,6.09137,5.81232,6.33097,5.54717,6.20819,6.88043,7.26154,6.15584,6.20887,6.15061,5.36199,9.60608,7.96014,6.37751,5.9445,7.13642,6.90966,6.07336,4.84761,5.91234,7.59308,6.09171,6.66806,5.42669,5.69553,6.11269,4.60631,7.61367,7.09179,6.01465,5.88509,6.19241,8.92394,6.50722,5.79496,5.91104,5.85988,9.35466,6.16383,5.79066,5.16369,7.11562,6.19461,5.61083,5.87726,5.78039,5.3263,10.16332,6.35642,5.41502,5.63605,8.57971,6.41891,6.2659,6.20813,6.40403,6.48929,6.57254,5.7665,6.25559,6.46275,5.59152,5.79834,6.0044,6.18454,6.06676,4.4062,5.0281,5.23962,5.31423,5.75806
"CD27",8.14998,7.90816,6.83148,7.78034,8.24226,7.10055,6.25962,6.58699,7.62657,7.27456,8.04417,7.43352,7.18214,8.65104,7.46842,6.94636,7.79414,8.43202,8.03328,6.55402,6.6464,7.94539,7.37954,6.99525,7.53878,8.3638,6.8792,7.69085,7.30032,7.88355,6.92588,6.44544,6.65584,7.67724,7.84672,8.15098,7.75202,7.19024,7.04147,8.78796,6.76158,8.16715,7.95497,8.01282,7.33608,7.78809,7.98436,7.21447,6.42058,7.53786,7.86306,7.58954,8.53468,7.03375,6.6994,7.706,6.33158,9.0361,9.30888,7.40414,7.90054,7.70042,7.09358,7.97234,6.8201,8.11774,8.03667,10.21102,6.2429,7.77248,7.81546,7.99716,7.31542,7.35455,6.68502,7.23924,7.1442,8.72456,7.82958,7.619,7.4895,9.63681,8.05228,8.70677,7.52326,7.63127,7.634,7.96114,7.47748,7.93286,6.91486,7.47823,7.15417,7.53564,7.3568,6.27102,6.44502,6.43984,6.70503,6.57752,6.75338
"CXCL5",9.39585,10.79224,9.18747,12.94788,12.8679,10.10506,12.29428,9.09631,12.0537,8.98842,8.83805,10.14753,11.42325,9.70654,10.64374,9.5988,12.24218,8.97078,11.32334,7.77645,9.34997,9.40219,9.16927,9.27268,12.08712,7.52868,9.43407,10.9611,11.64426,9.4496,9.91983,12.17125,11.12987,9.64604,9.25962,10.05921,10.79624,11.04489,9.83807,7.7235,13.68336,9.90095,11.01487,10.34273,10.4112,11.4505,10.73342,11.78473,7.507,9.81465,11.15833,10.35142,11.66136,8.59668,9.25685,11.59604,9.66251,9.73183,9.21492,9.4975,9.08431,8.90336,11.99383,9.5269,13.34919,12.13249,12.12404,10.15521,8.69727,10.88418,9.11696,9.71967,9.41554,9.26532,8.77639,10.56628,10.46985,8.61621,7.5168,11.32552,11.19548,10.34286,11.06933,9.62493,7.95395,8.39864,9.77476,10.61102,10.37414,9.38324,9.44495,8.27477,9.68512,8.10445,9.79753,9.21551,9.67571,7.59796,13.59511,9.02335,13.40624
"IL5",1.4173,1.41891,2.2329,1.17014,1.40172,1.2024,1.41082,0.92511,1.80813,1.4576,0.95229,2.11991,4.39966,1.46238,1.96547,1.33095,1.14291,1.06921,0.71,2.3357,0.96013,1.41315,1.222,1.9706,0.61393,0.73417,1.26838,0.26274,1.67298,0.56851,0.45557,0.58892,1.35184,0.86669,2.26132,0.92632,0.96436,1.13892,2.4994,1.10842,0.69186,0.53119,0.78499,1.02313,1.02396,1.14961,0.88085,1.10649,0.867,0.96692,1.42441,1.0376,1.42492,1.60862,1.56216,1.5178,0.77399,1.50993,0.72251,3.27341,1.16375,1.06456,0.89572,1.42663,2.1945,1.68976,2.17978,1.37098,3.17488,0.72471,2.03146,0.58826,1.26089,0.46563,1.7806,1.26284,0.77465,0.77447,1.00153,1.40502,1.38274,1.29985,0.64131,NA,1.30894,1.34902,NA,0.50558,1.07088,2.22669,0.98012,1.89553,1.86114,1.07623,1.51978,1.44793,0.49706,1.57273,1.24311,1.21962,0.91998
"HGF",10.61638,9.15242,9.08769,11.26341,8.90595,8.37142,9.60349,8.10667,7.23244,10.54747,9.05418,11.60547,9.4642,11.7618,11.36604,9.94128,7.4018,9.48519,9.4859,8.72056,8.68605,10.74103,8.46992,9.32141,11.51739,11.02293,9.52755,8.70793,8.26459,8.7997,9.01984,8.91407,11.87284,8.07669,9.93402,9.59693,8.80416,9.25838,8.98112,12.7867,8.27206,9.85844,10.64567,13.47449,11.80577,8.17027,12.39989,8.58773,7.32732,12.49308,11.67786,8.47394,9.23573,10.5481,9.08879,9.50068,7.35955,12.71546,9.47651,9.29619,9.37494,10.124,10.5957,9.69588,8.64039,7.67502,7.67342,9.31174,10.85417,8.41698,8.95687,9.68895,9.37778,9.69092,10.04727,12.34958,10.02744,11.54261,8.77782,8.78241,9.28626,12.87181,9.83309,9.94209,10.04749,11.36751,11.15434,12.3196,11.39067,9.34435,9.54002,8.18334,9.42959,10.51353,10.35851,9.90085,7.41774,7.38561,8.22748,8.05827,8.61687
"GZMA",11.73038,6.99679,6.94656,9.08175,8.50685,7.09526,7.46625,7.32815,7.71783,9.93505,6.52607,8.86674,7.30401,8.62315,11.19177,6.73824,7.85831,8.99455,9.78474,6.96409,7.34938,7.28252,7.32215,8.45812,9.76636,8.29196,9.79549,8.01398,7.55006,6.11342,7.50856,7.94448,8.06502,7.24773,7.55606,7.54859,8.70818,7.59931,6.63685,7.38744,6.61904,8.56049,8.33244,11.97275,9.39382,8.0487,9.52571,7.84424,6.35928,8.60168,8.34029,7.47783,10.09904,8.94124,7.18063,8.9286,5.9598,10.79068,8.11592,7.29797,9.12435,7.22745,7.26662,6.81736,7.64308,7.41807,7.52518,7.17175,6.90622,6.3716,6.5822,7.68471,7.83913,8.57155,7.23113,8.07538,7.28226,8.30089,6.70443,6.72081,7.75016,8.2828,7.46023,7.40485,7.33854,6.829,8.49115,9.04607,10.4475,7.76636,8.6189,6.9783,9.08802,6.86972,7.2193,6.31687,5.87267,6.55864,6.3175,7.52016,7.6404
"HO.1",12.47289,12.58084,12.42706,12.53741,13.16327,13.05212,13.54024,10.39556,12.05666,13.19664,13.26817,11.95986,13.31951,12.91744,12.36888,12.89708,12.17348,13.69333,12.87924,12.84828,13.32053,13.19993,13.71624,12.42304,13.04568,13.79258,13.30582,13.17212,13.30125,13.48117,13.28778,13.85907,13.97185,13.69109,12.90903,13.68645,13.73944,12.9514,13.73252,13.36414,11.09604,13.76173,13.63525,13.6828,13.40789,12.85324,13.71094,13.68337,10.8675,13.26131,12.17063,13.48622,13.43518,13.26981,13.04706,12.95843,10.90838,13.79609,13.36142,13.49635,12.95599,12.58151,12.36246,12.93208,10.45832,12.3903,12.4035,11.7189,11.78996,13.80141,13.62761,13.59475,13.15328,12.74442,13.68806,13.60138,13.16132,13.6421,13.4667,13.49454,13.68645,13.18903,13.6238,13.04596,12.96061,12.59328,12.5068,13.68618,12.4449,13.70836,13.33204,13.80689,12.04834,12.7288,12.18126,12.69158,10.92316,10.92704,11.00738,10.43064,10.43757
"CX3CL1",3.75949,3.7055,3.46072,3.29447,3.13662,3.70425,3.33585,1.65135,3.12674,3.20598,3.71333,2.95456,4.27875,5.19605,3.08382,4.65165,3.37664,6.8458,2.82093,3.86707,2.49667,4.18306,3.31809,2.98078,3.27623,3.23175,3.53918,3.50398,3.41063,4.32117,4.16681,3.64661,3.19319,3.39639,3.51387,3.90584,3.36607,3.14003,3.28421,3.09915,1.80599,6.03756,3.83713,3.47728,2.76476,3.67758,3.68513,3.22293,1.74079,2.5887,4.26945,3.48627,5.56444,3.09905,4.10811,3.2439,1.651,3.55207,4.02796,3.35844,2.10656,4.15487,5.92913,4.1399,1.93824,3.72576,3.77463,5.00907,3.59829,3.55284,3.7676,3.6459,3.77935,3.30573,3.91134,3.41312,3.0886,7.20032,3.94403,3.82436,4.04333,5.16895,4.89352,3.60887,3.93322,3.60059,3.68374,3.69048,2.98567,3.57206,3.68095,3.57804,2.78602,3.54009,5.13101,3.97213,1.6964,1.89725,1.78234,1.71876,1.69263
"CXCL10",11.55614,8.92998,8.37341,10.32588,9.50363,9.48179,9.43811,14.30698,9.18242,11.41254,8.80348,11.90732,9.81073,12.43698,9.14635,9.22788,9.34584,11.84211,8.83931,10.41799,8.41976,8.91641,9.57359,8.54232,10.41537,11.06517,11.3466,7.60447,9.7216,9.75157,10.18146,9.64771,10.5077,8.68248,10.21584,9.62897,9.28462,8.99967,8.05175,10.01332,12.0531,11.19398,9.34137,10.14302,10.40463,10.87918,10.94906,11.7299,14.39277,9.93668,9.40651,8.04847,10.61949,9.94116,8.82408,10.6865,10.86125,11.06593,8.6539,11.5499,8.80467,8.50345,10.12431,8.49096,13.01013,9.77849,9.83576,8.4166,8.76015,8.75766,8.50888,9.54177,8.8309,9.76751,10.16262,9.57553,8.75187,11.73536,9.8476,8.9595,9.63427,10.5367,10.02562,10.92281,11.1824,9.3517,10.08412,10.80708,8.92247,10.92987,11.56293,9.105,8.70191,9.15008,9.50787,8.41041,10.92378,14.16086,12.15467,14.17312,13.21182
"CD70",3.15329,2.5628,2.71809,2.62853,2.35483,2.46702,2.44571,3.28175,2.5124,3.2037,2.3049,3.09927,3.05668,3.9135,2.65209,2.99785,2.66541,4.65194,2.86524,3.48005,2.04859,2.47856,2.24148,2.60038,3.31242,2.85296,2.81596,2.9661,2.87594,3.91364,3.02895,2.71013,4.12755,2.51093,2.9559,3.28168,6.56785,3.02596,4.34991,3.74347,4.63217,5.84915,2.52487,9.5546,2.30781,6.82391,2.54016,2.82979,3.1567,2.86922,2.71106,2.48762,3.90996,2.77243,2.50884,2.55004,1.90414,3.62218,2.3864,2.93677,5.9863,2.87716,6.34518,1.7968,4.61734,4.21085,4.27253,3.62341,3.08819,4.13528,4.34671,3.96942,4.60437,3.40558,4.41505,4.50456,4.22193,6.82637,4.67143,3.91246,4.40197,4.3576,4.52237,4.83656,3.7503,3.33537,3.50446,3.86679,3.49085,3.87505,4.35856,4.9188,3.15826,3.68715,4.98645,3.35284,2.77497,3.48073,4.19781,3.24815,3.89043
"IL10",4.45696,2.85873,2.5526,3.33127,3.76021,3.07338,2.71627,3.00607,3.13019,5.17028,2.02656,4.08155,4.53852,4.68239,3.24752,4.16843,3.43836,3.66396,2.2663,3.84531,3.76914,3.16199,3.19955,3.6364,4.40212,5.60639,4.02276,2.13434,3.7908,4.96153,3.98325,3.27799,2.83369,5.68118,3.56646,3.65775,4.06698,3.20177,3.62787,8.49101,10.89737,3.60524,2.90513,9.82728,3.18869,4.03416,4.05384,3.72036,3.07563,2.72508,3.36853,2.51451,4.24199,4.04118,2.55501,3.12211,4.14731,6.2603,3.11081,3.8605,2.1797,3.41521,4.5651,2.62252,10.12036,3.78017,3.98705,3.19941,3.89637,2.85833,3.67691,3.80295,4.39015,3.82002,4.14696,3.23538,4.44119,3.95904,3.2651,3.01204,4.14593,2.73901,4.04391,2.38201,3.21019,3.48104,4.24689,4.08942,3.38108,3.38637,4.37441,3.33106,2.67992,3.37712,3.95665,4.96585,4.24511,3.20748,10.84842,2.73913,10.20663
"TNFRSF12A",5.65539,6.28777,4.37921,4.70938,5.15291,4.17553,5.49048,2.66425,4.14919,4.59065,5.18987,4.88703,5.34375,7.15793,4.47059,5.55406,4.37961,5.76958,5.32097,4.91224,4.70244,6.30731,4.49047,4.35522,5.27268,5.42823,5.36766,5.25924,5.0078,6.39329,4.52156,5.16057,4.85592,4.79783,5.41725,6.21609,5.60291,5.28194,5.20398,5.94653,3.1518,6.39677,4.46359,4.75904,5.62833,5.44897,5.38431,4.59318,2.81645,4.86585,5.73174,4.49643,4.92769,5.37532,5.92539,5.14761,2.79094,5.55654,5.96422,5.23562,3.27463,5.15097,5.97842,6.01134,2.95571,4.58961,4.75649,5.47546,4.72556,5.06141,5.12894,5.45985,4.7639,4.7174,4.9942,4.7657,4.83201,7.15917,6.58988,4.6601,4.93183,6.75603,6.45897,5.42964,5.42576,6.1451,5.70439,5.07832,4.21485,5.29679,5.27211,5.15754,4.57437,5.07549,5.62671,5.1717,2.9551,3.09974,2.83937,2.66214,2.82277
"CCL23",11.25683,10.69644,9.75334,10.28014,11.52716,10.40735,10.22509,8.45137,9.79216,10.61722,10.62637,10.47104,10.66371,11.63895,10.08187,11.48894,10.03812,11.33435,10.36638,11.87734,10.26112,10.73626,10.9251,11.1813,9.69807,11.40426,10.25565,11.24547,10.64487,11.84111,11.64534,10.55139,10.73439,10.38186,10.28356,11.51948,12.31836,10.68472,11.52855,12.97396,11.19082,11.44832,10.74932,11.44216,10.83248,11.36919,10.97686,10.48952,8.01917,10.40485,10.35068,10.25013,11.24977,10.74719,10.83922,10.42463,8.20386,11.30811,10.47074,11.31464,10.1979,11.30393,11.05115,11.11297,11.04269,9.93507,10.05717,10.81432,10.59256,11.04078,10.70462,10.38832,10.44016,10.46225,10.91,10.04838,10.05107,11.51432,11.4739,9.4495,9.4157,11.01336,11.48301,9.9626,11.19885,11.49259,11.0951,10.59862,9.77546,9.43864,10.00052,10.21459,10.65328,10.71869,11.00272,10.93515,8.25565,8.17195,10.92722,8.48618,11.0669
"CD5",7.79483,6.4517,5.77746,7.20898,7.12766,6.10233,7.04466,5.32868,6.1455,8.02353,5.85845,7.13286,6.09175,8.17651,7.62793,6.45728,6.23343,6.32163,6.29566,5.88998,6.3954,6.48217,6.56674,6.70139,6.87843,6.59239,7.23227,7.14793,5.7441,6.44526,5.83857,7.22145,6.55461,6.17868,5.54225,6.86795,6.38304,6.31875,6.05001,6.94033,5.73594,6.81257,6.93543,8.14813,7.21803,6.55015,7.10825,5.74635,5.34499,6.41993,6.20033,5.99594,6.684,6.8761,6.5812,7.27238,5.37835,6.95439,7.09137,5.75343,7.4415,6.24712,6.29427,6.79575,5.48823,5.07457,5.08083,5.36731,5.55924,4.67581,5.1536,4.98867,5.50791,5.17533,4.81636,5.73487,6.43594,5.46421,5.24336,4.75381,5.51381,6.24477,6.54248,6.16204,6.55849,6.56159,6.30133,5.81415,6.32394,5.03423,5.7834,5.16935,5.63445,6.12763,6.11398,5.13596,5.04319,5.64235,5.5161,5.51675,5.55778
"CCL3",8.69531,6.52852,6.39965,7.64942,6.50019,6.16831,6.9798,9.64807,5.11017,7.59779,5.72496,10.13112,8.25551,9.11911,10.68128,6.7584,5.13171,10.62766,6.79517,7.72305,5.80344,6.96641,6.59735,9.56868,10.02028,9.12842,8.12929,6.45928,5.95033,7.468,7.43791,9.54522,6.80037,6.45585,8.09003,6.94346,7.56573,6.80495,6.51762,7.30993,13.83609,10.02112,6.91797,10.80278,7.70317,7.27218,7.60775,6.72082,10.48361,7.47327,6.95853,5.39345,6.43947,8.06567,7.22668,7.98865,9.81082,7.42941,6.66731,6.84994,9.23832,6.34947,8.1364,7.56768,13.80386,5.50371,5.53755,6.41696,7.77375,6.20555,6.52686,7.22262,6.08987,6.52717,7.20072,6.93424,6.53821,9.58282,6.65319,6.22508,7.06808,6.74414,7.05564,5.99614,7.301,7.63848,8.4347,7.6317,10.57898,6.86382,7.95428,6.64246,7.76132,6.90415,7.86246,7.8659,9.93048,10.54912,13.62968,9.75014,13.72304
"MMP7",12.61686,12.71898,12.1186,11.37012,12.10015,11.7102,11.6868,10.78411,12.045,12.5562,12.36141,12.22177,12.81745,13.53429,12.55048,12.7475,12.19052,12.28274,12.61047,11.55413,12.12344,13.36815,12.05714,11.93642,12.42977,12.07276,12.76698,12.2057,11.71858,12.7064,11.87909,11.86314,12.04772,12.36321,12.46788,12.53598,12.23275,12.77167,11.32811,12.02077,10.62242,12.62882,12.48329,12.93744,12.95029,11.6566,12.96065,11.79625,10.34279,11.30258,12.61983,12.02101,10.15992,12.74667,12.7494,12.111,10.25958,12.77236,13.25422,13.10018,11.77795,12.52053,12.5735,13.03215,11.07924,12.26904,12.18296,13.42841,12.59565,12.83961,12.26507,11.35469,11.3903,11.30873,12.13054,12.07566,12.03325,13.44135,12.70508,12.11247,11.56629,11.87473,13.29898,12.48455,12.97815,12.36006,12.44038,12.8559,12.52261,12.69128,12.74774,12.35124,11.80182,12.10918,12.72144,12.9517,10.38434,10.38599,10.58395,10.76761,10.96622
"ARG1",7.8537,6.99664,6.95968,8.29958,7.87794,7.32617,7.51938,4.91664,4.18244,8.48307,6.51657,8.15535,7.31634,8.61225,7.85744,7.63338,4.16288,6.80334,7.39948,7.12433,7.56626,7.26997,7.44518,7.6387,7.7883,7.15137,7.11457,7.39122,7.30668,7.02548,7.39981,7.54559,6.40666,6.89302,7.8651,7.40336,6.61928,7.77756,7.91188,7.14015,5.04998,7.87831,7.78763,7.81909,8.29326,6.06113,7.57771,6.91002,4.85705,7.10354,7.87542,7.54025,7.82887,7.96852,7.6692,8.00975,5.01327,6.62162,7.8683,6.83019,7.5572,7.64308,7.40599,8.206,4.51563,4.38375,4.33637,6.54852,8.10318,6.73424,7.47186,7.34382,7.43164,7.87119,7.86631,6.97447,8.0565,6.91372,7.1472,7.3628,7.74859,7.99462,7.64078,7.84183,8.22382,8.42299,8.29655,7.47951,7.70418,7.01379,7.04722,7.04513,7.86833,8.04094,7.88704,8.02771,5.03041,4.88684,4.93912,4.99098,4.50522
